scenario_name,condition_id,condition_label,game_name,run_profile,episode_id,random_seed,agent_1_type,agent_2_type,fixed_strategy_2,metric_name,first_third_metric,last_third_metric,delta_metric,first_third_payoff_1,last_third_payoff_1,delta_payoff_1,simple_adaptation_lag_proxy
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,63,20260432,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,64,20260433,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,65,20260434,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,66,20260435,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,67,20260436,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,68,20260437,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,69,20260438,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,70,20260439,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,71,20260440,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,72,20260441,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,73,20260442,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,74,20260443,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,75,20260444,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,76,20260445,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,77,20260446,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,78,20260447,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,79,20260448,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,Prisoners Dilemma,paper,80,20260449,emotional,fixed_strategy,always_cooperate,cooperation_flag_1,1.0,1.0,0.0,198.0,198.0,0.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,81,20260430,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,82,20260431,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,83,20260432,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,84,20260433,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,85,20260434,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,86,20260435,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,87,20260436,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,88,20260437,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,89,20260438,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,90,20260439,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,91,20260440,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,92,20260441,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
S2,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,93,20260442,emotional,fixed_strategy,always_defect,cooperation_flag_1,0.3787878787878788,0.42424242424242425,0.04545454545454547,41.0,38.0,-3.0,1
